X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
9,9,jul,tue,0.681957187,0.165751921,0.359974984,0.161458333,0.474226804,0.36,0.270588235,0,0.6
1,4,sep,tue,0.840978593,0.462861325,0.83427142,0.322916667,0.60137457,0.306666667,0.211764706,0,0.655743852
2,5,sep,mon,0.837920489,0.451884376,0.826641651,0.322916667,0.608247423,0.32,0.164705882,0,0.68556546
1,2,aug,wed,0.978593272,0.354555434,0.610006254,0.645833333,0.656357388,0.213333333,0.482352941,0,0.741619849
8,6,aug,fri,0.813455657,0.384193194,0.630644153,0.609375,0.58419244,0.48,1,0,0.781024968
1,2,jul,sat,0.810397554,0.176728869,0.338586617,0.411458333,0.426116838,0.506666667,0.588235294,0,0.842614977
2,5,aug,wed,0.978593272,0.354555434,0.610006254,0.645833333,0.673539519,0.226666667,0.588235294,0,0.877496439
6,5,aug,thu,0.96941896,0.470911087,0.691932458,0.5,0.797250859,0.093333333,0.423529412,0,0.948683298
5,4,mar,mon,0.813455657,0.134284669,0.076297686,0.28125,0.309278351,0.333333333,0.588235294,0,0.974679434
8,3,sep,tue,0.639143731,0.257592389,0.808380238,0.125,0.687285223,0.173333333,0.376470588,0,0.979795897
2,2,aug,tue,0.957186544,0.385290889,0.777360851,0.84375,0.453608247,0.373333333,0.741176471,0,1.034408043
8,6,sep,thu,0.923547401,0.28503476,0.825015635,0.890625,0.670103093,0.133333333,0.482352941,0,1.058300524
6,5,jun,fri,0.886850153,0.195389682,0.509943715,0.328125,0.652920962,0.32,0.588235294,0,1.090871211
9,9,jul,sun,0.813455657,0.240029272,0.412257661,0.333333333,0.70790378,0.186666667,0.211764706,0,1.166190379
3,4,jul,sat,0.813455657,0.176362971,0.498436523,0.28125,0.701030928,0.373333333,0.164705882,0,1.195826074
5,4,sep,fri,0.941896024,0.300402488,0.833896185,0.786458333,0.546391753,0.426666667,0.529411765,0,1.208304597
1,5,sep,sat,0.914373089,0.521039151,0.870293934,0.380208333,0.872852234,0.16,0.270588235,0,1.208304597
7,4,aug,sun,0.957186544,0.385290889,0.777360851,0.84375,0.419243986,0.426666667,0.105882353,0,1.2489996
2,4,sep,sat,0.914373089,0.521039151,0.870293934,0.380208333,0.838487973,0.16,0.211764706,0,1.268857754
2,2,aug,wed,0.874617737,0.395901939,0.786116323,0.458333333,0.487972509,0.4,0.376470588,0,1.276714533
2,4,aug,wed,0.874617737,0.395901939,0.786116323,0.458333333,0.560137457,0.266666667,0.423529412,0,1.280624847
7,4,sep,fri,0.883792049,0.420417124,0.803502189,0.59375,0.508591065,0.253333333,0.635294118,0,1.3
7,4,mar,mon,0.813455657,0.134284669,0.076297686,0.28125,0.408934708,0.186666667,0.317647059,0,1.322875656
6,4,aug,thu,0.96941896,0.470911087,0.691932458,0.5,0.553264605,0.346666667,0.423529412,0,1.378404875
6,3,mar,sat,0.828746177,0.17233809,0.093558474,0.364583333,0.378006873,0.213333333,0.952941176,0,1.392838828
