X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
9,9,jul,tue,0.681957187,0.165751921,0.359974984,0.161458333,0.474226804,0.36,0.270588235,0,0.0012925
1,4,sep,tue,0.840978593,0.462861325,0.83427142,0.322916667,0.60137457,0.306666667,0.211764706,0,0.001543819
2,5,sep,mon,0.837920489,0.451884376,0.826641651,0.322916667,0.608247423,0.32,0.164705882,0,0.00168743
1,2,aug,wed,0.978593272,0.354555434,0.610006254,0.645833333,0.656357388,0.213333333,0.482352941,0,0.001974653
8,6,aug,fri,0.813455657,0.384193194,0.630644153,0.609375,0.58419244,0.48,1,0,0.002190069
1,2,jul,sat,0.810397554,0.176728869,0.338586617,0.411458333,0.426116838,0.506666667,0.588235294,0,0.002549097
2,5,aug,wed,0.978593272,0.354555434,0.610006254,0.645833333,0.673539519,0.226666667,0.588235294,0,0.002764514
6,5,aug,thu,0.96941896,0.470911087,0.691932458,0.5,0.797250859,0.093333333,0.423529412,0,0.00323125
5,4,mar,mon,0.813455657,0.134284669,0.076297686,0.28125,0.309278351,0.333333333,0.588235294,0,0.003410764
8,3,sep,tue,0.639143731,0.257592389,0.808380238,0.125,0.687285223,0.173333333,0.376470588,0,0.003446666
2,2,aug,tue,0.957186544,0.385290889,0.777360851,0.84375,0.453608247,0.373333333,0.741176471,0,0.003841597
8,6,sep,thu,0.923547401,0.28503476,0.825015635,0.890625,0.670103093,0.133333333,0.482352941,0,0.004021111
6,5,jun,fri,0.886850153,0.195389682,0.509943715,0.328125,0.652920962,0.32,0.588235294,0,0.00427243
9,9,jul,sun,0.813455657,0.240029272,0.412257661,0.333333333,0.70790378,0.186666667,0.211764706,0,0.004882777
3,4,jul,sat,0.813455657,0.176362971,0.498436523,0.28125,0.701030928,0.373333333,0.164705882,0,0.005134097
5,4,sep,fri,0.941896024,0.300402488,0.833896185,0.786458333,0.546391753,0.426666667,0.529411765,0,0.005241805
1,5,sep,sat,0.914373089,0.521039151,0.870293934,0.380208333,0.872852234,0.16,0.270588235,0,0.005241805
7,4,aug,sun,0.957186544,0.385290889,0.777360851,0.84375,0.419243986,0.426666667,0.105882353,0,0.005600833
2,4,sep,sat,0.914373089,0.521039151,0.870293934,0.380208333,0.838487973,0.16,0.211764706,0,0.005780347
2,2,aug,wed,0.874617737,0.395901939,0.786116323,0.458333333,0.487972509,0.4,0.376470588,0,0.005852152
2,4,aug,wed,0.874617737,0.395901939,0.786116323,0.458333333,0.560137457,0.266666667,0.423529412,0,0.005888055
7,4,sep,fri,0.883792049,0.420417124,0.803502189,0.59375,0.508591065,0.253333333,0.635294118,0,0.006067569
7,4,mar,mon,0.813455657,0.134284669,0.076297686,0.28125,0.408934708,0.186666667,0.317647059,0,0.006282986
6,4,aug,thu,0.96941896,0.470911087,0.691932458,0.5,0.553264605,0.346666667,0.423529412,0,0.006821527
6,3,mar,sat,0.828746177,0.17233809,0.093558474,0.364583333,0.378006873,0.213333333,0.952941176,0,0.006965138
8,6,sep,sat,0.886850153,0.432125869,0.811507192,0.40625,0.467353952,0.546666667,0.164705882,0,0.007001041
8,5,sep,sun,0.801223242,0.318331504,0.849030644,0.208333333,0.467353952,0.693333333,0.211764706,0,0.007216458
6,5,mar,thu,0.654434251,0.055616539,0.036772983,0.114583333,0.037800687,0.733333333,0.482352941,0,0.007683194
6,5,aug,wed,0.874617737,0.395901939,0.786116323,0.458333333,0.426116838,0.426666667,0.058823529,0,0.008221736
6,5,aug,wed,0.993883792,0.454079766,0.681550969,0.817708333,0.659793814,0.24,0.482352941,0,0.009011597
8,6,aug,thu,0.96941896,0.470911087,0.691932458,0.5,0.567010309,0.4,0.211764706,0,0.009155208
5,4,sep,wed,0.899082569,0.476765459,0.843026892,0.4375,0.608247423,0.266666667,0.164705882,0,0.009227013
8,6,aug,wed,0.675840979,0.319795097,0.730456535,0.302083333,0.453608247,0.466666667,0.423529412,0,0.009657847
7,4,aug,sun,0.853211009,0.510062203,0.720200125,0.510416667,0.546391753,0.32,0.588235294,0,0.00983736
4,4,sep,mon,0.837920489,0.451884376,0.826641651,0.322916667,0.463917526,0.32,0.211764706,0,0.011022152
1,4,aug,sat,0.816513761,0.343578485,0.748717949,0.421875,0.343642612,0.506666667,0.164705882,0,0.012565971
1,4,aug,sat,0.816513761,0.343578485,0.748717949,0.421875,0.553264605,0.32,0.529411765,0,0.016263957
6,5,apr,thu,0.550458716,0.022319795,0.037023139,0.098958333,0.054982818,0.52,0.635294118,0,0.016551179
2,5,aug,sun,0.816513761,0.353457739,0.757473421,0.286458333,0.515463918,0.386666667,0.270588235,0,0.016838402
2,5,sep,wed,0.813455657,0.292352726,0.888180113,0.28125,0.484536082,0.4,0.211764706,0,0.017520554
8,6,aug,tue,0.773700306,0.527991218,0.736585366,0.427083333,0.350515464,0.68,0.588235294,0,0.018777151
1,3,sep,sun,0.883792049,0.443102817,0.819387117,0.401041667,0.676975945,0.226666667,0.741176471,0,0.019136179
8,6,oct,mon,0.654434251,0.109037688,0.798749218,0.114583333,0.512027491,0.226666667,0.423529412,0,0.01953111
5,4,feb,sun,0.712538226,0.046103183,0.028392745,0.161458333,0.281786942,0.506666667,0.211764706,0,0.022905971
7,4,oct,mon,0.862385321,0.166483718,0.838649156,0.536458333,0.432989691,0.4,0.482352941,0,0.024521596
8,6,aug,fri,0.929663609,0.485547018,0.701813634,0.744791667,0.570446735,0.253333333,0.529411765,0,0.024988332
2,5,sep,tue,0.840978593,0.462861325,0.83427142,0.322916667,0.4604811,0.413333333,0.317647059,0,0.025275554
8,6,mar,sun,0.788990826,0.176728869,0.095809881,0.458333333,0.250859107,0.32,0.635294118,0,0.025814095
1,5,sep,mon,0.837920489,0.451884376,0.826641651,0.322916667,0.577319588,0.36,0.211764706,0,0.026209026
6,4,mar,sat,0.834862385,0.142334431,0.079799875,0.369791667,0.312714777,0.36,0.058823529,0,0.026568054
7,4,mar,sun,0.831804281,0.150018295,0.08355222,0.244791667,0.250859107,0.6,0.423529412,0,0.029583887
6,5,mar,fri,0.847094801,0.165751921,0.090306442,0.609375,0.257731959,0.24,0.423529412,0,0.029835206
2,5,aug,thu,0.96941896,0.470911087,0.691932458,0.5,0.687285223,0.173333333,0.270588235,0,0.031163609
2,2,aug,tue,0.957186544,0.385290889,0.777360851,0.84375,0.701030928,0.093333333,0.482352941,0,0.031271317
4,5,sep,wed,0.899082569,0.476765459,0.843026892,0.4375,0.690721649,0.133333333,0.423529412,0,0.033784512
2,2,aug,tue,0.957186544,0.385290889,0.777360851,0.84375,0.701030928,0.093333333,0.482352941,0,0.035938678
2,5,aug,fri,0.929663609,0.485547018,0.701813634,0.744791667,0.663230241,0.28,0.588235294,0,0.035974581
6,5,apr,thu,0.550458716,0.022319795,0.037023139,0.098958333,0.054982818,0.52,0.635294118,0,0.039241733
4,5,sep,thu,0.899082569,0.490303696,0.851532208,0.4375,0.594501718,0,0.058823529,0,0.039708469
3,4,sep,tue,0.840978593,0.462861325,0.83427142,0.322916667,0.333333333,0.586666667,0.694117647,0,0.040354719
2,4,sep,mon,0,0.248079034,0.800125078,0,0.632302405,0.306666667,0.376470588,0,0.040641942
1,5,sep,tue,0.840978593,0.462861325,0.83427142,0.322916667,0.597938144,0.24,0.211764706,0,0.0413959
6,5,mar,sun,0.813455657,0.126600805,0.072670419,0.333333333,0.281786942,0.52,0.376470588,0,0.043442358
7,4,feb,sun,0.623853211,0.020856202,0.008130081,0.067708333,0.158075601,0.706666667,0.211764706,0,0.046853122
8,6,oct,wed,0.853211009,0.1276985,0.810756723,0.229166667,0.549828179,0.293333333,0.270588235,0,0.049186802
5,6,mar,sat,0.828746177,0.17233809,0.093558474,0.364583333,0.374570447,0.653333333,0.423529412,0,0.050227983
4,5,sep,thu,0.899082569,0.490303696,0.851532208,0.4375,0.615120275,0.253333333,0.164705882,0,0.052310344
7,5,sep,tue,0.840978593,0.462861325,0.83427142,0.322916667,0.567010309,0.293333333,0.211764706,0,0.061752773
6,5,sep,fri,0.883792049,0.420417124,0.803502189,0.59375,0.529209622,0.24,0.694117647,0,0.069041037
8,3,sep,thu,0.923547401,0.28503476,0.825015635,0.890625,0.652920962,0.146666667,0.529411765,0,0.084048397
4,4,oct,sat,0.828746177,0.1489206,0.827141964,0.307291667,0.487972509,0.133333333,0.317647059,0,0.086992425
7,4,sep,fri,0.941896024,0.300402488,0.833896185,0.786458333,0.546391753,0.426666667,0.529411765,0,0.093813952
7,3,mar,mon,0.737003058,0.180021954,0.097811132,0.21875,0.233676976,0.413333333,0.635294118,0,0.09819409
4,4,mar,sat,0.862385321,0.120014636,0.069043152,0.364583333,0.439862543,0.16,0.529411765,0,0.102897354
4,4,sep,sun,0.883792049,0.443102817,0.819387117,0.401041667,0.436426117,0.6,0.105882353,0,0.105841382
1,3,sep,mon,0.767584098,0.324917673,0.855909944,0.328125,0.281786942,0.773333333,0.694117647,0,0.108857215
